road,id,model_type,name,lat,lon,length
N1,LRP202a,bridge,bridge 180,22.6281666352941,91.6527578258312,3.0
N1,LRP202b,bridge,bridge 181,22.6258323373493,91.6541857554217,6.1
N1,LRP203a,bridge,bridge 182,22.6230461711711,91.6554672531531,3.0
N1,LRP203b,bridge,bridge 183,22.6177563490118,91.6580589438735,3.0
N1,LRP204a,bridge,bridge 184,22.6149899686274,91.6602670503268,4.6
N1,LRP205a,bridge,bridge 185,22.6117556741935,91.6625686731182,3.0
N1,LRP206a,bridge,bridge 186,22.6038394411764,91.6673745588235,2.95
N1,LRP206b,bridge,bridge 187,22.6023506949579,91.6683367336134,4.5
N1,LRP206c,bridge,bridge 188,22.5971665766519,91.671819207489,9.3
N1,LRP207a,bridge,bridge 189,22.5938881803921,91.6738889367647,4.5
N1,LRP208a,bridge,bridge 190,22.5870350167767,91.6770444686922,22.25
N1,LRP208d,bridge,bridge 191,22.5815086746355,91.6795390413994,2.5
N1,LRP209a,bridge,bridge 192,22.5767930229508,91.68162274153,10.2
N1,LRP210a,bridge,bridge 193,22.5702905930578,91.6840096656198,3.0
N1,LRP210b,bridge,bridge 194,22.5679968064462,91.6846866604958,8.2
N1,LRP210d,bridge,bridge 195,22.5664212916363,91.6851826636363,4.5
N1,LRP211a,bridge,bridge 196,22.5585210862619,91.687506242492,4.1
N1,LRP212a,bridge,bridge 197,22.5543319776357,91.6887963149094,21.6
N1,LRP213a,bridge,bridge 198,22.5467727210909,91.6926260603636,3.0
N1,LRP213b,bridge,bridge 199,22.5444897756363,91.6941310785454,5.2
N1,LRP214a,bridge,bridge 200,22.5390300234693,91.6965452744898,8.2
N1,LRP215a,bridge,bridge 201,22.5303678038461,91.7004641228571,3.0
N1,LRP215b,bridge,bridge 202,22.5229359167189,91.7038366163009,16.3
N1,LRP217a,bridge,bridge 203,22.5113471164122,91.7087907889313,41.11
N1,LRP218a,bridge,bridge 204,22.5060220437735,91.7112848218867,4.5
N1,LRP218b,bridge,bridge 205,22.5000858335766,91.7141504905109,17.6
N1,LRP219a,bridge,bridge 206,22.4904405976324,91.7182726733934,3.0
N1,LRP220a,bridge,bridge 207,22.4855480068965,91.7195309517241,4.5
N1,LRP220b,bridge,bridge 208,22.4811642144766,91.7203633632516,23.2
N1,LRP221a,bridge,bridge 209,22.4728530893544,91.7232633541336,6.0
N1,LRP223a,bridge,bridge 210,22.4624386352,91.7285307,23.2
N1,LRP224a,bridge,bridge 211,22.4488628503871,91.7342823894358,3.0
N1,LRP225a,bridge,bridge 212,22.4460793332411,91.7353674287057,26.3
N1,LRP226a,bridge,bridge 213,22.4375035216216,91.7386659473513,3.0
N1,LRP226b,bridge,bridge 214,22.4350737918918,91.7396527192432,40.0
N1,LRP228a,bridge,bridge 215,22.4220415536,91.7480209792,35.1
N1,LRP230a,bridge,bridge 216,22.4030145445,91.75657411625,5.0
N1,LRP231a,bridge,bridge 217,22.3963398830265,91.7582551580777,3.0
N1,LRP231b,bridge,bridge 218,22.3927175345622,91.7590882138248,18.0
N1,LRP232a,bridge,bridge 219,22.38524588272,91.76250565776,3.0
N1,LRP233a,bridge,bridge 220,22.3797011826666,91.7670476533333,8.3
N1,LRP234a,bridge,bridge 221,22.3696841276595,91.7739258709219,3.0
N1,LRP236a,bridge,bridge 222,22.3599057425992,91.8522694918171,4.65
N1,LRP238a,bridge,bridge 223,22.3522674714754,91.852622049836,15.8
N1,LRP239a,bridge,bridge 224,22.3395393508599,91.8533871579852,38.4
N1,LRP240a,bridge,bridge 225,22.3357673216494,91.8538536927835,39.4
N1,LRP240c,bridge,bridge 226,22.3349153368556,91.8533979043814,48.5
N1,LRP241a,bridge,bridge 227,22.3266451369152,91.852759390139,954.5
N1,LRP242b,bridge,bridge 228,22.3129265129032,91.856181916129,11.0
N1,LRP243b,bridge,bridge 229,22.306457756,91.860449028,15.2
N1,LRP244a,bridge,bridge 230,22.3026235524271,91.8635646970873,3.0
N1,LRP244b,bridge,bridge 231,22.3002851293515,91.8652980307167,5.7
N1,LRP244c,bridge,bridge 232,22.2975350260563,91.866363031514,3.0
N1,LRP245a,bridge,bridge 233,22.2932366309133,91.8684360651053,1.5
N1,LRP245b,bridge,bridge 234,22.2916421411764,91.8702911411764,3.0
N1,LRP246a,bridge,bridge 235,22.2926079302013,91.8730201176733,3.0
N1,LRP246b,bridge,bridge 236,22.2944653526717,91.876717971374,3.0
N1,LRP247a,bridge,bridge 237,22.2962698699619,91.8807528022813,116.13
N1,LRP248a,bridge,bridge 238,22.2988369230769,91.8873512822898,3.0
N1,LRP249a,bridge,bridge 239,22.3021025781938,91.8992582823788,3.1
N1,LRP250a,bridge,bridge 240,22.3035365502293,91.9044227217889,3.0
N1,LRP251a,bridge,bridge 241,22.3083189877358,91.9142153009434,3.0
N1,LRP252a,bridge,bridge 242,22.3137546831094,91.9203176378118,3.0
N1,LRP252c,bridge,bridge 243,22.3157468089473,91.9243524131578,3.0
N1,LRP253a,bridge,bridge 244,22.3137565607999,91.9339832312,5.3
N1,LRP255a,bridge,bridge 245,22.3084394099236,91.9483886979643,3.0
N1,LRP257a,bridge,bridge 246,22.3006016043999,91.9658457726,50.8
N1,LRP260a,bridge,bridge 247,22.2911451997412,91.9833668252263,12.4
N1,LRP261a,bridge,bridge 248,22.2859320161666,91.992309198,60.5
N1,LRP262a,bridge,bridge 249,22.2811424692972,91.9995571696216,14.0
N1,LRP263b,bridge,bridge 250,22.2710895749999,92.00559725,3.0
N1,LRP264a,bridge,bridge 251,22.2611613745967,92.0073035838709,14.8
N1,LRP264c,bridge,bridge 252,22.2590515857142,92.0081111238095,9.8
N1,LRP265a,bridge,bridge 253,22.2549374824626,92.0103021287313,9.2
N1,LRP265b,bridge,bridge 254,22.2531199613981,92.0119718729483,6.0
N1,LRP267a,bridge,bridge 255,22.2487130149162,92.0158341025875,9.4
N1,LRP268a,bridge,bridge 256,22.24038615762,92.0217918336116,14.0
N1,LRP268b,bridge,bridge 257,22.2366345532374,92.0232647489208,14.0
N1,LRP269a,bridge,bridge 258,22.2314978226851,92.0249656611111,12.6
N1,LRP269c,bridge,bridge 259,22.2260608528604,92.0264650356979,9.4
N1,LRP270a,bridge,bridge 260,22.2222719897959,92.0273785979591,14.0
N1,LRP271a,bridge,bridge 261,22.2155873504854,92.0290230394174,9.2
N1,LRP272a,bridge,bridge 262,22.2071026538461,92.03633246993,50.8
N1,LRP272c,bridge,bridge 263,22.2049837597806,92.0383312340036,9.2
N1,LRP276a,bridge,bridge 264,22.1739178955307,92.0532925435754,12.3
N1,LRP279a,bridge,bridge 265,22.1586272806451,92.0682063096774,211.0
