Step,AgentID,Delay time,Driving time of cars leaving
1382,200000,,"[['Truck250561', 1381]]"
1442,200412,,"[['Truck250572', 1411]]"
1471,200000,,"[['Truck250583', 1415]]"
1474,200000,,"[['Truck250581', 1423]]"
1477,200412,,"[['Truck250568', 1456]]"
1481,200000,,"[['Truck250563', 1475]]"
1483,200412,,"[['Truck250578', 1437], ['Truck250582', 1427]]"
1515,200412,,"[['Truck250564', 1504]]"
1516,200000,,"[['Truck250587', 1450]]"
1522,200000,,"[['Truck250603', 1416]]"
1532,200412,,"[['Truck250574', 1496]]"
1533,200000,,"[['Truck250567', 1517]]"
1557,200412,,"[['Truck250584', 1496]]"
1558,200000,,"[['Truck250605', 1447]]"
1566,200412,,"[['Truck250608', 1445]]"
1567,200412,,"[['Truck250616', 1426]]"
1572,200000,,"[['Truck250589', 1501]]"
1594,200412,,"[['Truck250566', 1578], ['Truck250580', 1543]]"
1598,200412,,"[['Truck250586', 1532]]"
1599,200000,,"[['Truck250597', 1508]]"
1599,200412,,"[['Truck250576', 1558]]"
1602,200000,,"[['Truck250613', 1471]]"
1611,200000,,"[['Truck250607', 1495]]"
1616,200000,,"[['Truck250611', 1490], ['Truck250619', 1470]]"
1619,200000,,"[['Truck250565', 1608]]"
1619,200412,,"[['Truck250560', 1618]]"
1622,200412,,"[['Truck250562', 1616]]"
1624,200412,,"[['Truck250590', 1548]]"
1626,200000,,"[['Truck250623', 1470]]"
1626,200412,,"[['Truck250610', 1500]]"
1627,200000,,"[['Truck250579', 1581]]"
1627,200412,,"[['Truck250606', 1511]]"
1629,200412,,"[['Truck250628', 1458]]"
1641,200000,,"[['Truck250569', 1620]]"
1641,200412,,"[['Truck250570', 1615]]"
1642,200412,,"[['Truck250624', 1481]]"
1643,200412,,"[['Truck250618', 1497]]"
1644,200000,,"[['Truck250571', 1618]]"
1651,200412,,"[['Truck250604', 1540]]"
1652,200000,,"[['Truck250621', 1501]]"
1653,200000,,"[['Truck250575', 1617]]"
1656,200412,,"[['Truck250630', 1480]]"
1657,200412,,"[['Truck250594', 1571]]"
1662,200412,,"[['Truck250644', 1451]]"
1684,200000,,"[['Truck250601', 1583], ['Truck250635', 1498]]"
1690,200000,,"[['Truck250599', 1594]]"
1690,200412,,"[['Truck250612', 1559]]"
1692,200000,,"[['Truck250653', 1461]]"
1694,200000,,"[['Truck250625', 1533]]"
1696,200000,,"[['Truck250573', 1665], ['Truck250585', 1635]]"
1696,200412,,"[['Truck250660', 1445]]"
1699,200412,,"[['Truck250602', 1593]]"
1700,200412,,"[['Truck250632', 1519]]"
1702,200412,,"[['Truck250588', 1631]]"
1704,200000,,"[['Truck250645', 1493]]"
1704,200412,,"[['Truck250634', 1518]]"
1705,200412,,"[['Truck250664', 1444]]"
1713,200000,,"[['Truck250627', 1547]]"
1720,200000,,"[['Truck250577', 1679], ['Truck250593', 1639]]"
1720,200412,,"[['Truck250600', 1619]]"
1724,200000,,"[['Truck250669', 1453]]"
1729,200412,,"[['Truck250658', 1483]]"
1732,200000,,"[['Truck250703', 1376]]"
1737,200412,,"[['Truck250620', 1586]]"
