Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck17281', 297]]"
298,200412,,"[['Truck17280', 297]]"
303,200000,,"[['Truck17283', 297]]"
303,200412,,"[['Truck17282', 297]]"
308,200000,,"[['Truck17285', 297]]"
308,200412,,"[['Truck17284', 297]]"
313,200000,,"[['Truck17287', 297]]"
313,200412,,"[['Truck17286', 297]]"
318,200000,,"[['Truck17289', 297]]"
318,200412,,"[['Truck17288', 297]]"
323,200000,,"[['Truck17291', 297]]"
323,200412,,"[['Truck17290', 297]]"
328,200000,,"[['Truck17293', 297]]"
328,200412,,"[['Truck17292', 297]]"
333,200000,,"[['Truck17295', 297]]"
333,200412,,"[['Truck17294', 297]]"
338,200000,,"[['Truck17297', 297]]"
338,200412,,"[['Truck17296', 297]]"
343,200000,,"[['Truck17299', 297]]"
343,200412,,"[['Truck17298', 297]]"
348,200000,,"[['Truck17301', 297]]"
348,200412,,"[['Truck17300', 297]]"
353,200000,,"[['Truck17303', 297]]"
353,200412,,"[['Truck17302', 297]]"
358,200000,,"[['Truck17305', 297]]"
358,200412,,"[['Truck17304', 297]]"
363,200000,,"[['Truck17307', 297]]"
363,200412,,"[['Truck17306', 297]]"
368,200000,,"[['Truck17309', 297]]"
368,200412,,"[['Truck17308', 297]]"
373,200000,,"[['Truck17311', 297]]"
373,200412,,"[['Truck17310', 297]]"
378,200000,,"[['Truck17313', 297]]"
378,200412,,"[['Truck17312', 297]]"
383,200000,,"[['Truck17315', 297]]"
383,200412,,"[['Truck17314', 297]]"
388,200000,,"[['Truck17317', 297]]"
388,200412,,"[['Truck17316', 297]]"
393,200000,,"[['Truck17319', 297]]"
393,200412,,"[['Truck17318', 297]]"
398,200000,,"[['Truck17321', 297]]"
398,200412,,"[['Truck17320', 297]]"
403,200000,,"[['Truck17323', 297]]"
403,200412,,"[['Truck17322', 297]]"
408,200000,,"[['Truck17325', 297]]"
408,200412,,"[['Truck17324', 297]]"
413,200000,,"[['Truck17327', 297]]"
413,200412,,"[['Truck17326', 297]]"
418,200000,,"[['Truck17329', 297]]"
418,200412,,"[['Truck17328', 297]]"
423,200000,,"[['Truck17331', 297]]"
423,200412,,"[['Truck17330', 297]]"
428,200000,,"[['Truck17333', 297]]"
428,200412,,"[['Truck17332', 297]]"
433,200000,,"[['Truck17335', 297]]"
433,200412,,"[['Truck17334', 297]]"
438,200000,,"[['Truck17337', 297]]"
438,200412,,"[['Truck17336', 297]]"
443,200000,,"[['Truck17339', 297]]"
443,200412,,"[['Truck17338', 297]]"
448,200000,,"[['Truck17341', 297]]"
448,200412,,"[['Truck17340', 297]]"
453,200000,,"[['Truck17343', 297]]"
453,200412,,"[['Truck17342', 297]]"
458,200000,,"[['Truck17345', 297]]"
458,200412,,"[['Truck17344', 297]]"
463,200000,,"[['Truck17347', 297]]"
463,200412,,"[['Truck17346', 297]]"
468,200000,,"[['Truck17349', 297]]"
468,200412,,"[['Truck17348', 297]]"
473,200000,,"[['Truck17351', 297]]"
473,200412,,"[['Truck17350', 297]]"
478,200000,,"[['Truck17353', 297]]"
478,200412,,"[['Truck17352', 297]]"
483,200000,,"[['Truck17355', 297]]"
483,200412,,"[['Truck17354', 297]]"
488,200000,,"[['Truck17357', 297]]"
488,200412,,"[['Truck17356', 297]]"
493,200000,,"[['Truck17359', 297]]"
493,200412,,"[['Truck17358', 297]]"
498,200000,,"[['Truck17361', 297]]"
498,200412,,"[['Truck17360', 297]]"
503,200000,,"[['Truck17363', 297]]"
503,200412,,"[['Truck17362', 297]]"
508,200000,,"[['Truck17365', 297]]"
508,200412,,"[['Truck17364', 297]]"
513,200000,,"[['Truck17367', 297]]"
513,200412,,"[['Truck17366', 297]]"
518,200000,,"[['Truck17369', 297]]"
518,200412,,"[['Truck17368', 297]]"
523,200000,,"[['Truck17371', 297]]"
523,200412,,"[['Truck17370', 297]]"
528,200000,,"[['Truck17373', 297]]"
528,200412,,"[['Truck17372', 297]]"
533,200000,,"[['Truck17375', 297]]"
533,200412,,"[['Truck17374', 297]]"
538,200000,,"[['Truck17377', 297]]"
538,200412,,"[['Truck17376', 297]]"
543,200000,,"[['Truck17379', 297]]"
543,200412,,"[['Truck17378', 297]]"
548,200000,,"[['Truck17381', 297]]"
548,200412,,"[['Truck17380', 297]]"
553,200000,,"[['Truck17383', 297]]"
553,200412,,"[['Truck17382', 297]]"
558,200000,,"[['Truck17385', 297]]"
558,200412,,"[['Truck17384', 297]]"
563,200000,,"[['Truck17387', 297]]"
