Step,AgentID,Delay time,Driving time of cars leaving
1622,200412,,"[['Truck233286', 1606]]"
1625,200000,,"[['Truck233303', 1569]]"
1682,200000,,"[['Truck233307', 1616]]"
1685,200000,,"[['Truck233283', 1679]]"
1686,200000,,"[['Truck233291', 1660]]"
1695,200412,,"[['Truck233294', 1659]]"
1696,200000,,"[['Truck233289', 1675]]"
1719,200000,,"[['Truck233285', 1708]]"
1732,200000,,"[['Truck233281', 1731]]"
1732,200412,,"[['Truck233302', 1676]]"
1738,200412,,"[['Truck233284', 1727]]"
1747,200412,,"[['Truck233296', 1706]]"
1776,200412,,"[['Truck233280', 1775]]"
1777,200000,,"[['Truck233345', 1616]]"
1781,200000,,"[['Truck233287', 1765]]"
1782,200412,,"[['Truck233318', 1686]]"
1798,200412,,"[['Truck233292', 1767]]"
1799,200000,,"[['Truck233295', 1763]]"
1800,200412,,"[['Truck233282', 1794], ['Truck233332', 1669]]"
1802,200000,,"[['Truck233313', 1721]]"
1803,200412,,"[['Truck233288', 1782]]"
1805,200000,,"[['Truck233315', 1719], ['Truck233327', 1689]]"
1807,200000,,"[['Truck233343', 1651]]"
1807,200412,,"[['Truck233316', 1716]]"
1811,200000,,"[['Truck233299', 1765]]"
1812,200000,,"[['Truck233321', 1711]]"
1815,200412,,"[['Truck233314', 1729]]"
1817,200000,,"[['Truck233333', 1686]]"
1818,200412,,"[['Truck233290', 1792], ['Truck233310', 1742]]"
1823,200000,,"[['Truck233319', 1727]]"
1839,200412,,"[['Truck233324', 1728]]"
1851,200412,,"[['Truck233312', 1770]]"
1852,200412,,"[['Truck233356', 1661]]"
1858,200000,,"[['Truck233339', 1712]]"
1861,200412,,"[['Truck233338', 1715]]"
1862,200412,,"[['Truck233374', 1626]]"
1872,200412,,"[['Truck233308', 1801]]"
1873,200412,,"[['Truck233322', 1767]]"
1877,200412,,"[['Truck233300', 1826], ['Truck233336', 1736]]"
1878,200412,,"[['Truck233348', 1707]]"
1881,200412,,"[['Truck233330', 1755]]"
1885,200000,,"[['Truck233381', 1634]]"
1886,200000,,"[['Truck233331', 1760]]"
1887,200000,,"[['Truck233317', 1796], ['Truck233341', 1736]]"
1888,200000,,"[['Truck233305', 1827]]"
1890,200000,,"[['Truck233323', 1784]]"
1897,200000,,"[['Truck233329', 1776]]"
1907,200412,,"[['Truck233376', 1666]]"
1913,200000,,"[['Truck233355', 1727]]"
1915,200000,,"[['Truck233301', 1864]]"
1916,200412,,"[['Truck233342', 1760]]"
1921,200000,,"[['Truck233365', 1710]]"
1921,200412,,"[['Truck233306', 1855]]"
1922,200412,,"[['Truck233366', 1706]]"
1925,200000,,"[['Truck233375', 1689]]"
1928,200000,,"[['Truck233297', 1887]]"
1928,200412,,"[['Truck233328', 1807]]"
1929,200000,,"[['Truck233379', 1683]]"
1931,200000,,"[['Truck233357', 1740]]"
1932,200000,,"[['Truck233311', 1856]]"
1932,200412,,"[['Truck233298', 1886]]"
1933,200000,,"[['Truck233351', 1757]]"
1934,200412,,"[['Truck233304', 1873]]"
1935,200412,,"[['Truck233364', 1724]]"
