Step,AgentID,Delay time,Driving time of cars leaving
436,200000,,"[['Truck129607', 420]]"
446,200412,,"[['Truck129604', 435]]"
449,200412,,"[['Truck129602', 443]]"
455,200000,,"[['Truck129601', 454]]"
458,200412,,"[['Truck129606', 442]]"
476,200000,,"[['Truck129609', 455]]"
482,200412,,"[['Truck129600', 481]]"
485,200000,,"[['Truck129603', 479]]"
488,200000,,"[['Truck129611', 462]]"
491,200000,,"[['Truck129621', 440]]"
494,200000,,"[['Truck129613', 463]]"
498,200000,,"[['Truck129605', 487]]"
500,200412,,"[['Truck129616', 459]]"
502,200412,,"[['Truck129608', 481]]"
503,200412,,"[['Truck129612', 472]]"
507,200000,,"[['Truck129625', 446]]"
507,200412,,"[['Truck129614', 471]]"
512,200000,,"[['Truck129617', 471]]"
515,200000,,"[['Truck129615', 479]]"
515,200412,,"[['Truck129610', 489]]"
517,200000,,"[['Truck129619', 471]]"
523,200412,,"[['Truck129620', 472]]"
524,200000,,"[['Truck129623', 468]]"
526,200412,,"[['Truck129622', 470]]"
528,200000,,"[['Truck129633', 447], ['Truck129637', 437]]"
530,200412,,"[['Truck129618', 484], ['Truck129628', 459]]"
535,200000,,"[['Truck129631', 459]]"
536,200412,,"[['Truck129630', 460], ['Truck129634', 450]]"
540,200412,,"[['Truck129626', 474]]"
542,200000,,"[['Truck129647', 426]]"
542,200412,,"[['Truck129632', 461]]"
543,200000,,"[['Truck129627', 477]]"
546,200412,,"[['Truck129648', 425]]"
548,200412,,"[['Truck129640', 447], ['Truck129644', 437]]"
551,200412,,"[['Truck129624', 490]]"
562,200000,,"[['Truck129629', 491]]"
562,200412,,"[['Truck129650', 436]]"
565,200000,,"[['Truck129635', 479]]"
567,200412,,"[['Truck129642', 461]]"
572,200412,,"[['Truck129636', 481]]"
573,200000,,"[['Truck129639', 477]]"
574,200412,,"[['Truck129656', 433]]"
579,200412,,"[['Truck129646', 463]]"
582,200000,,"[['Truck129653', 451]]"
593,200000,,"[['Truck129649', 472]]"
595,200000,,"[['Truck129659', 449]]"
596,200412,,"[['Truck129662', 440]]"
599,200412,,"[['Truck129638', 503]]"
603,200000,,"[['Truck129645', 492]]"
603,200412,,"[['Truck129664', 442]]"
607,200000,,"[['Truck129641', 506]]"
610,200000,,"[['Truck129651', 484]]"
611,200000,,"[['Truck129643', 505]]"
612,200412,,"[['Truck129658', 466]]"
616,200412,,"[['Truck129666', 450]]"
617,200412,,"[['Truck129654', 481]]"
619,200000,,"[['Truck129661', 468]]"
622,200412,,"[['Truck129660', 471]]"
623,200000,,"[['Truck129655', 487]]"
625,200000,,"[['Truck129657', 484]]"
626,200000,,"[['Truck129663', 470]]"
