Step,AgentID,Delay time,Driving time of cars leaving
426,200412,,"[['Truck100800', 425]]"
429,200412,,"[['Truck100802', 423]]"
433,200000,,"[['Truck100801', 432]]"
442,200412,,"[['Truck100812', 411]]"
444,200000,,"[['Truck100813', 413]]"
446,200412,,"[['Truck100818', 400]]"
452,200000,,"[['Truck100809', 431]]"
453,200412,,"[['Truck100804', 442]]"
454,200000,,"[['Truck100803', 448]]"
462,200000,,"[['Truck100807', 446]]"
473,200412,,"[['Truck100826', 407]]"
474,200412,,"[['Truck100814', 438]]"
478,200412,,"[['Truck100810', 452]]"
479,200000,,"[['Truck100805', 468]]"
484,200000,,"[['Truck100819', 438]]"
485,200000,,"[['Truck100815', 449]]"
486,200000,,"[['Truck100811', 460]]"
501,200412,,"[['Truck100808', 480]]"
504,200000,,"[['Truck100823', 448]]"
506,200000,,"[['Truck100821', 455]]"
511,200000,,"[['Truck100829', 440]]"
511,200412,,"[['Truck100820', 460], ['Truck100830', 435]]"
512,200000,,"[['Truck100817', 471]]"
512,200412,,"[['Truck100834', 426]]"
513,200000,,"[['Truck100825', 452]]"
513,200412,,"[['Truck100828', 442]]"
514,200412,,"[['Truck100806', 498]]"
515,200412,,"[['Truck100816', 474]]"
520,200412,,"[['Truck100836', 429]]"
526,200000,,"[['Truck100831', 450]]"
527,200412,,"[['Truck100822', 471]]"
536,200000,,"[['Truck100835', 450]]"
542,200000,,"[['Truck100837', 451]]"
545,200412,,"[['Truck100824', 484]]"
546,200000,,"[['Truck100839', 450]]"
547,200000,,"[['Truck100843', 441]]"
554,200412,,"[['Truck100838', 458]]"
557,200412,,"[['Truck100832', 476]]"
558,200000,,"[['Truck100833', 477]]"
559,200412,,"[['Truck100850', 433]]"
563,200000,,"[['Truck100827', 497]]"
564,200412,,"[['Truck100840', 463]]"
565,200000,,"[['Truck100841', 464]]"
568,200000,,"[['Truck100845', 457]]"
573,200000,,"[['Truck100849', 452]]"
575,200412,,"[['Truck100858', 429]]"
576,200412,,"[['Truck100848', 455]]"
579,200000,,"[['Truck100871', 403]]"
579,200412,,"[['Truck100844', 468]]"
580,200412,,"[['Truck100854', 444]]"
585,200412,,"[['Truck100842', 479], ['Truck100846', 469]]"
590,200000,,"[['Truck100851', 464]]"
591,200412,,"[['Truck100852', 460]]"
592,200412,,"[['Truck100868', 421]]"
594,200412,,"[['Truck100862', 438]]"
597,200000,,"[['Truck100847', 481], ['Truck100859', 451]]"
598,200000,,"[['Truck100853', 467]]"
599,200000,,"[['Truck100855', 463]]"
602,200000,,"[['Truck100863', 446]]"
605,200000,,"[['Truck100861', 454]]"
606,200412,,"[['Truck100874', 420]]"
607,200000,,"[['Truck100873', 426]]"
609,200000,,"[['Truck100857', 468]]"
611,200412,,"[['Truck100866', 445]]"
616,200000,,"[['Truck100865', 455]]"
617,200412,,"[['Truck100856', 476]]"
628,200412,,"[['Truck100870', 452]]"
632,200000,,"[['Truck100881', 431]]"
635,200412,,"[['Truck100872', 454]]"
640,200412,,"[['Truck100860', 489], ['Truck100878', 444]]"
654,200412,,"[['Truck100876', 463]]"
655,200412,,"[['Truck100882', 449]]"
656,200000,,"[['Truck100867', 490]]"
657,200000,,"[['Truck100869', 486]]"
664,200412,,"[['Truck100864', 503], ['Truck100884', 453]]"
666,200000,,"[['Truck100877', 475]]"
675,200412,,"[['Truck100886', 459], ['Truck100892', 444]]"
677,200412,,"[['Truck100898', 431]]"
683,200000,,"[['Truck100885', 472]]"
685,200000,,"[['Truck100875', 499], ['Truck100895', 449]]"
685,200412,,"[['Truck100880', 484], ['Truck100902', 429]]"
686,200000,,"[['Truck100891', 460]]"
690,200000,,"[['Truck100901', 439]]"
691,200000,,"[['Truck100889', 470]]"
691,200412,,"[['Truck100888', 470]]"
693,200000,,"[['Truck100879', 497]]"
695,200000,,"[['Truck100897', 454]]"
698,200000,,"[['Truck100883', 492], ['Truck100899', 452], ['Truck100903', 442]]"
699,200000,,"[['Truck100893', 468]]"
706,200412,,"[['Truck100890', 480]]"
708,200000,,"[['Truck100909', 437]]"
711,200412,,"[['Truck100894', 475]]"
713,200412,,"[['Truck100896', 472]]"
714,200412,,"[['Truck100904', 453]]"
719,200000,,"[['Truck100913', 438]]"
719,200412,,"[['Truck100900', 468]]"
723,200412,,"[['Truck100910', 447]]"
727,200000,,"[['Truck100887', 511]]"
735,200412,,"[['Truck100906', 469]]"
736,200000,,"[['Truck100907', 470], ['Truck100929', 415]]"
736,200412,,"[['Truck100918', 440]]"
738,200000,,"[['Truck100925', 427]]"
739,200000,,"[['Truck100915', 453]]"
741,200000,,"[['Truck100919', 445]]"
748,200412,,"[['Truck100928', 427]]"
751,200000,,"[['Truck100905', 490]]"
754,200000,,"[['Truck100923', 448]]"
754,200412,,"[['Truck100916', 463]]"
756,200000,,"[['Truck100921', 455]]"
759,200000,,"[['Truck100911', 483]]"
759,200412,,"[['Truck100922', 453]]"
763,200000,,"[['Truck100927', 447]]"
767,200412,,"[['Truck100912', 486]]"
769,200000,,"[['Truck100917', 478]]"
769,200412,,"[['Truck100920', 468], ['Truck100926', 453]]"
772,200412,,"[['Truck100914', 486]]"
774,200412,,"[['Truck100908', 503]]"
776,200412,,"[['Truck100924', 465]]"
779,200000,,"[['Truck100931', 453]]"
781,200412,,"[['Truck100930', 455], ['Truck100932', 450]]"
788,200000,,"[['Truck100935', 452]]"
789,200000,,"[['Truck100943', 433]]"
790,200000,,"[['Truck100945', 429]]"
790,200412,,"[['Truck100934', 454]]"
792,200412,,"[['Truck100938', 446]]"
793,200000,,"[['Truck100933', 462]]"
796,200000,,"[['Truck100939', 450]]"
797,200000,,"[['Truck100941', 446]]"
801,200412,,"[['Truck100940', 450]]"
809,200412,,"[['Truck100944', 448]]"
816,200412,,"[['Truck100950', 440]]"
818,200000,,"[['Truck100959', 422]]"
819,200000,,"[['Truck100937', 478]]"
820,200000,,"[['Truck100947', 454]]"
821,200000,,"[['Truck100953', 440]]"
821,200412,,"[['Truck100958', 425]]"
828,200000,,"[['Truck100963', 422]]"
832,200412,,"[['Truck100946', 466]]"
837,200412,,"[['Truck100942', 481], ['Truck100956', 446]]"
842,200412,,"[['Truck100948', 471], ['Truck100970', 416]]"
846,200412,,"[['Truck100936', 505]]"
