Step,AgentID,Delay time,Driving time of cars leaving
573,200412,,"[['Truck172806', 557]]"
592,200412,,"[['Truck172800', 591]]"
613,200412,,"[['Truck172804', 602]]"
635,200000,,"[['Truck172811', 609]]"
637,200000,,"[['Truck172801', 636], ['Truck172805', 626]]"
646,200000,,"[['Truck172809', 625]]"
648,200412,,"[['Truck172812', 617]]"
654,200412,,"[['Truck172808', 633], ['Truck172816', 613]]"
656,200412,,"[['Truck172826', 590]]"
662,200000,,"[['Truck172815', 626]]"
663,200000,,"[['Truck172803', 657], ['Truck172819', 617]]"
665,200000,,"[['Truck172823', 609]]"
666,200412,,"[['Truck172820', 615]]"
667,200412,,"[['Truck172802', 661]]"
672,200412,,"[['Truck172814', 636]]"
676,200000,,"[['Truck172821', 625]]"
681,200000,,"[['Truck172807', 665]]"
684,200412,,"[['Truck172822', 628]]"
685,200000,,"[['Truck172829', 614]]"
699,200412,,"[['Truck172828', 628]]"
702,200000,,"[['Truck172845', 591]]"
703,200412,,"[['Truck172810', 677]]"
713,200000,,"[['Truck172825', 652]]"
715,200000,,"[['Truck172853', 584]]"
720,200000,,"[['Truck172813', 689]]"
721,200000,,"[['Truck172817', 680]]"
722,200412,,"[['Truck172818', 676]]"
725,200412,,"[['Truck172844', 614]]"
726,200000,,"[['Truck172827', 660]]"
733,200000,,"[['Truck172831', 657]]"
737,200412,,"[['Truck172840', 636]]"
740,200000,,"[['Truck172855', 604]]"
740,200412,,"[['Truck172824', 679]]"
744,200000,,"[['Truck172851', 618]]"
749,200412,,"[['Truck172874', 563]]"
751,200412,,"[['Truck172852', 620]]"
755,200412,,"[['Truck172832', 674], ['Truck172838', 659]]"
757,200412,,"[['Truck172864', 596], ['Truck172870', 581]]"
760,200000,,"[['Truck172843', 654], ['Truck172891', 534]]"
762,200000,,"[['Truck172861', 611]]"
763,200412,,"[['Truck172846', 647]]"
770,200000,,"[['Truck172839', 674]]"
770,200412,,"[['Truck172848', 649]]"
773,200000,,"[['Truck172873', 592]]"
779,200000,,"[['Truck172857', 638]]"
779,200412,,"[['Truck172856', 638]]"
781,200000,,"[['Truck172865', 620]]"
783,200000,,"[['Truck172841', 682]]"
787,200000,,"[['Truck172837', 696]]"
787,200412,,"[['Truck172858', 641]]"
788,200000,,"[['Truck172863', 632], ['Truck172879', 592]]"
789,200000,,"[['Truck172835', 703]]"
790,200000,,"[['Truck172833', 709]]"
793,200412,,"[['Truck172896', 552]]"
794,200412,,"[['Truck172834', 708]]"
795,200000,,"[['Truck172867', 629]]"
797,200000,,"[['Truck172871', 621]]"
798,200412,,"[['Truck172860', 647]]"
799,200412,,"[['Truck172830', 723]]"
808,200000,,"[['Truck172849', 687]]"
814,200000,,"[['Truck172901', 563]]"
814,200412,,"[['Truck172850', 688], ['Truck172886', 598]]"
825,200000,,"[['Truck172881', 624]]"
825,200412,,"[['Truck172890', 599]]"
828,200412,,"[['Truck172888', 607]]"
829,200000,,"[['Truck172847', 713]]"
835,200412,,"[['Truck172836', 744], ['Truck172862', 679]]"
841,200412,,"[['Truck172898', 595]]"
844,200412,,"[['Truck172866', 678]]"
847,200412,,"[['Truck172842', 741]]"
848,200000,,"[['Truck172859', 702], ['Truck172869', 677]]"
849,200000,,"[['Truck172895', 613]]"
854,200412,,"[['Truck172908', 583]]"
858,200000,,"[['Truck172885', 647]]"
859,200000,,"[['Truck172905', 598]]"
861,200000,,"[['Truck172893', 630], ['Truck172899', 615]]"
863,200000,,"[['Truck172887', 647]]"
865,200000,,"[['Truck172889', 644]]"
865,200412,,"[['Truck172854', 729]]"
868,200412,,"[['Truck172876', 677], ['Truck172878', 672]]"
870,200000,,"[['Truck172917', 579]]"
874,200412,,"[['Truck172880', 673]]"
876,200000,,"[['Truck172903', 620], ['Truck172913', 595]]"
876,200412,,"[['Truck172868', 705]]"
883,200412,,"[['Truck172872', 702]]"
884,200000,,"[['Truck172925', 573]]"
890,200412,,"[['Truck172892', 659]]"
894,200412,,"[['Truck172882', 688]]"
895,200412,,"[['Truck172904', 634]]"
896,200000,,"[['Truck172875', 710]]"
897,200000,,"[['Truck172897', 656]]"
901,200000,,"[['Truck172921', 600]]"
905,200000,,"[['Truck172923', 599]]"
908,200412,,"[['Truck172928', 587]]"
910,200000,,"[['Truck172877', 719]]"
912,200412,,"[['Truck172938', 566]]"
919,200412,,"[['Truck172920', 618]]"
923,200000,,"[['Truck172915', 637]]"
924,200412,,"[['Truck172916', 633]]"
927,200412,,"[['Truck172930', 601]]"
928,200412,,"[['Truck172906', 662]]"
929,200412,,"[['Truck172900', 678]]"
930,200000,,"[['Truck172907', 664]]"
934,200000,,"[['Truck172911', 658]]"
937,200000,,"[['Truck172883', 731]]"
939,200412,,"[['Truck172912', 658]]"
949,200412,,"[['Truck172884', 738]]"
955,200412,,"[['Truck172958', 559]]"
961,200000,,"[['Truck172959', 565]]"
967,200412,,"[['Truck172934', 631], ['Truck172948', 596]]"
969,200000,,"[['Truck172919', 673]]"
970,200000,,"[['Truck172929', 649], ['Truck172931', 644]]"
970,200412,,"[['Truck172910', 694]]"
971,200000,,"[['Truck172969', 550]]"
973,200412,,"[['Truck172932', 642]]"
975,200000,,"[['Truck172933', 644], ['Truck172941', 624]]"
977,200000,,"[['Truck172949', 606]]"
983,200412,,"[['Truck172894', 747]]"
987,200000,,"[['Truck172973', 556]]"
989,200000,,"[['Truck172927', 673]]"
992,200412,,"[['Truck172902', 736], ['Truck172914', 706]]"
996,200000,,"[['Truck172951', 620]]"
997,200000,,"[['Truck172909', 726]]"
997,200412,,"[['Truck172924', 686]]"
1000,200000,,"[['Truck172935', 664], ['Truck172943', 644]]"
1000,200412,,"[['Truck172926', 684], ['Truck172940', 649]]"
1004,200412,,"[['Truck172952', 623]]"
1006,200412,,"[['Truck172968', 585]]"
1008,200412,,"[['Truck172964', 597]]"
1009,200412,,"[['Truck172984', 548]]"
1010,200412,,"[['Truck172944', 649]]"
1012,200000,,"[['Truck172965', 601]]"
1013,200000,,"[['Truck172971', 587]]"
1013,200412,,"[['Truck172918', 717], ['Truck172922', 707]]"
1026,200000,,"[['Truck172939', 680]]"
1027,200412,,"[['Truck172980', 576]]"
1033,200000,,"[['Truck172945', 672], ['Truck172961', 632]]"
1036,200412,,"[['Truck172950', 660]]"
1041,200412,,"[['Truck172966', 625], ['Truck172974', 605]]"
1042,200000,,"[['Truck172975', 606]]"
1042,200412,,"[['Truck172976', 601], ['Truck172990', 566]]"
1043,200000,,"[['Truck172937', 702], ['Truck172979', 597]]"
1043,200412,,"[['Truck172936', 702]]"
1044,200000,,"[['Truck172955', 658]]"
1046,200000,,"[['Truck172963', 640]]"
1049,200412,,"[['Truck172992', 568]]"
1056,200412,,"[['Truck172942', 700]]"
1057,200412,,"[['Truck172946', 691]]"
1058,200412,,"[['Truck172954', 672], ['Truck172972', 627]]"
1064,200000,,"[['Truck172953', 683]]"
1065,200000,,"[['Truck172983', 609]]"
1068,200412,,"[['Truck172960', 667]]"
1069,200000,,"[['Truck172957', 678]]"
1071,200000,,"[['Truck172947', 705]]"
1079,200000,,"[['Truck173003', 573]]"
1084,200000,,"[['Truck173009', 563]]"
1085,200000,,"[['Truck172989', 614]]"
1086,200000,,"[['Truck172981', 635]]"
1092,200412,,"[['Truck173010', 566]]"
1095,200412,,"[['Truck172978', 649]]"
1100,200412,,"[['Truck173026', 534]]"
1105,200412,,"[['Truck173006', 589]]"
1106,200000,,"[['Truck172995', 620]]"
1108,200412,,"[['Truck173018', 562]]"
1109,200412,,"[['Truck173008', 588]]"
1113,200000,,"[['Truck173005', 602]]"
1113,200412,,"[['Truck172962', 707]]"
1114,200412,,"[['Truck172970', 688]]"
1115,200412,,"[['Truck172956', 724]]"
1116,200000,,"[['Truck172993', 635]]"
1117,200000,,"[['Truck172977', 676]]"
1117,200412,,"[['Truck172982', 661]]"
1118,200000,,"[['Truck173007', 602]]"
1121,200000,,"[['Truck173021', 570]]"
1123,200412,,"[['Truck173014', 587]]"
1125,200412,,"[['Truck172996', 634]]"
1127,200412,,"[['Truck173000', 626]]"
1129,200000,,"[['Truck172991', 653]]"
1130,200412,,"[['Truck172994', 644]]"
