Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck5761', 297]]"
298,200412,,"[['Truck5760', 297]]"
303,200000,,"[['Truck5763', 297]]"
303,200412,,"[['Truck5762', 297]]"
308,200000,,"[['Truck5765', 297]]"
308,200412,,"[['Truck5764', 297]]"
313,200000,,"[['Truck5767', 297]]"
313,200412,,"[['Truck5766', 297]]"
318,200000,,"[['Truck5769', 297]]"
318,200412,,"[['Truck5768', 297]]"
323,200000,,"[['Truck5771', 297]]"
323,200412,,"[['Truck5770', 297]]"
328,200000,,"[['Truck5773', 297]]"
328,200412,,"[['Truck5772', 297]]"
333,200000,,"[['Truck5775', 297]]"
333,200412,,"[['Truck5774', 297]]"
338,200000,,"[['Truck5777', 297]]"
338,200412,,"[['Truck5776', 297]]"
343,200000,,"[['Truck5779', 297]]"
343,200412,,"[['Truck5778', 297]]"
348,200000,,"[['Truck5781', 297]]"
348,200412,,"[['Truck5780', 297]]"
353,200000,,"[['Truck5783', 297]]"
353,200412,,"[['Truck5782', 297]]"
358,200000,,"[['Truck5785', 297]]"
358,200412,,"[['Truck5784', 297]]"
363,200000,,"[['Truck5787', 297]]"
363,200412,,"[['Truck5786', 297]]"
368,200000,,"[['Truck5789', 297]]"
368,200412,,"[['Truck5788', 297]]"
373,200000,,"[['Truck5791', 297]]"
373,200412,,"[['Truck5790', 297]]"
378,200000,,"[['Truck5793', 297]]"
378,200412,,"[['Truck5792', 297]]"
383,200000,,"[['Truck5795', 297]]"
383,200412,,"[['Truck5794', 297]]"
388,200000,,"[['Truck5797', 297]]"
388,200412,,"[['Truck5796', 297]]"
393,200000,,"[['Truck5799', 297]]"
393,200412,,"[['Truck5798', 297]]"
398,200000,,"[['Truck5801', 297]]"
398,200412,,"[['Truck5800', 297]]"
403,200000,,"[['Truck5803', 297]]"
403,200412,,"[['Truck5802', 297]]"
408,200000,,"[['Truck5805', 297]]"
408,200412,,"[['Truck5804', 297]]"
413,200000,,"[['Truck5807', 297]]"
413,200412,,"[['Truck5806', 297]]"
418,200000,,"[['Truck5809', 297]]"
418,200412,,"[['Truck5808', 297]]"
423,200000,,"[['Truck5811', 297]]"
423,200412,,"[['Truck5810', 297]]"
428,200000,,"[['Truck5813', 297]]"
428,200412,,"[['Truck5812', 297]]"
433,200000,,"[['Truck5815', 297]]"
433,200412,,"[['Truck5814', 297]]"
438,200000,,"[['Truck5817', 297]]"
438,200412,,"[['Truck5816', 297]]"
443,200000,,"[['Truck5819', 297]]"
443,200412,,"[['Truck5818', 297]]"
448,200000,,"[['Truck5821', 297]]"
448,200412,,"[['Truck5820', 297]]"
453,200000,,"[['Truck5823', 297]]"
453,200412,,"[['Truck5822', 297]]"
458,200000,,"[['Truck5825', 297]]"
458,200412,,"[['Truck5824', 297]]"
463,200000,,"[['Truck5827', 297]]"
463,200412,,"[['Truck5826', 297]]"
468,200000,,"[['Truck5829', 297]]"
468,200412,,"[['Truck5828', 297]]"
473,200000,,"[['Truck5831', 297]]"
473,200412,,"[['Truck5830', 297]]"
478,200000,,"[['Truck5833', 297]]"
478,200412,,"[['Truck5832', 297]]"
483,200000,,"[['Truck5835', 297]]"
483,200412,,"[['Truck5834', 297]]"
488,200000,,"[['Truck5837', 297]]"
488,200412,,"[['Truck5836', 297]]"
493,200000,,"[['Truck5839', 297]]"
493,200412,,"[['Truck5838', 297]]"
498,200000,,"[['Truck5841', 297]]"
498,200412,,"[['Truck5840', 297]]"
503,200000,,"[['Truck5843', 297]]"
503,200412,,"[['Truck5842', 297]]"
508,200000,,"[['Truck5845', 297]]"
508,200412,,"[['Truck5844', 297]]"
513,200000,,"[['Truck5847', 297]]"
513,200412,,"[['Truck5846', 297]]"
518,200000,,"[['Truck5849', 297]]"
518,200412,,"[['Truck5848', 297]]"
523,200000,,"[['Truck5851', 297]]"
523,200412,,"[['Truck5850', 297]]"
528,200000,,"[['Truck5853', 297]]"
528,200412,,"[['Truck5852', 297]]"
533,200000,,"[['Truck5855', 297]]"
533,200412,,"[['Truck5854', 297]]"
538,200000,,"[['Truck5857', 297]]"
538,200412,,"[['Truck5856', 297]]"
543,200000,,"[['Truck5859', 297]]"
543,200412,,"[['Truck5858', 297]]"
548,200000,,"[['Truck5861', 297]]"
548,200412,,"[['Truck5860', 297]]"
553,200000,,"[['Truck5863', 297]]"
553,200412,,"[['Truck5862', 297]]"
558,200000,,"[['Truck5865', 297]]"
558,200412,,"[['Truck5864', 297]]"
563,200000,,"[['Truck5867', 297]]"
563,200412,,"[['Truck5866', 297]]"
568,200000,,"[['Truck5869', 297]]"
568,200412,,"[['Truck5868', 297]]"
573,200000,,"[['Truck5871', 297]]"
573,200412,,"[['Truck5870', 297]]"
578,200000,,"[['Truck5873', 297]]"
578,200412,,"[['Truck5872', 297]]"
583,200000,,"[['Truck5875', 297]]"
583,200412,,"[['Truck5874', 297]]"
588,200000,,"[['Truck5877', 297]]"
588,200412,,"[['Truck5876', 297]]"
593,200000,,"[['Truck5879', 297]]"
593,200412,,"[['Truck5878', 297]]"
598,200000,,"[['Truck5881', 297]]"
598,200412,,"[['Truck5880', 297]]"
603,200000,,"[['Truck5883', 297]]"
603,200412,,"[['Truck5882', 297]]"
608,200000,,"[['Truck5885', 297]]"
608,200412,,"[['Truck5884', 297]]"
613,200000,,"[['Truck5887', 297]]"
613,200412,,"[['Truck5886', 297]]"
618,200000,,"[['Truck5889', 297]]"
618,200412,,"[['Truck5888', 297]]"
623,200000,,"[['Truck5891', 297]]"
623,200412,,"[['Truck5890', 297]]"
628,200000,,"[['Truck5893', 297]]"
628,200412,,"[['Truck5892', 297]]"
633,200000,,"[['Truck5895', 297]]"
633,200412,,"[['Truck5894', 297]]"
638,200000,,"[['Truck5897', 297]]"
638,200412,,"[['Truck5896', 297]]"
643,200000,,"[['Truck5899', 297]]"
