Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck57601', 297]]"
298,200412,,"[['Truck57600', 297]]"
303,200000,,"[['Truck57603', 297]]"
303,200412,,"[['Truck57602', 297]]"
308,200000,,"[['Truck57605', 297]]"
308,200412,,"[['Truck57604', 297]]"
313,200000,,"[['Truck57607', 297]]"
313,200412,,"[['Truck57606', 297]]"
318,200000,,"[['Truck57609', 297]]"
318,200412,,"[['Truck57608', 297]]"
323,200000,,"[['Truck57611', 297]]"
323,200412,,"[['Truck57610', 297]]"
328,200000,,"[['Truck57613', 297]]"
328,200412,,"[['Truck57612', 297]]"
333,200000,,"[['Truck57615', 297]]"
333,200412,,"[['Truck57614', 297]]"
338,200000,,"[['Truck57617', 297]]"
338,200412,,"[['Truck57616', 297]]"
343,200000,,"[['Truck57619', 297]]"
343,200412,,"[['Truck57618', 297]]"
348,200000,,"[['Truck57621', 297]]"
348,200412,,"[['Truck57620', 297]]"
353,200000,,"[['Truck57623', 297]]"
353,200412,,"[['Truck57622', 297]]"
358,200000,,"[['Truck57625', 297]]"
358,200412,,"[['Truck57624', 297]]"
363,200000,,"[['Truck57627', 297]]"
363,200412,,"[['Truck57626', 297]]"
368,200000,,"[['Truck57629', 297]]"
368,200412,,"[['Truck57628', 297]]"
373,200000,,"[['Truck57631', 297]]"
373,200412,,"[['Truck57630', 297]]"
378,200000,,"[['Truck57633', 297]]"
378,200412,,"[['Truck57632', 297]]"
383,200000,,"[['Truck57635', 297]]"
383,200412,,"[['Truck57634', 297]]"
388,200000,,"[['Truck57637', 297]]"
388,200412,,"[['Truck57636', 297]]"
393,200000,,"[['Truck57639', 297]]"
393,200412,,"[['Truck57638', 297]]"
398,200000,,"[['Truck57641', 297]]"
398,200412,,"[['Truck57640', 297]]"
403,200000,,"[['Truck57643', 297]]"
403,200412,,"[['Truck57642', 297]]"
408,200000,,"[['Truck57645', 297]]"
408,200412,,"[['Truck57644', 297]]"
413,200000,,"[['Truck57647', 297]]"
413,200412,,"[['Truck57646', 297]]"
418,200000,,"[['Truck57649', 297]]"
418,200412,,"[['Truck57648', 297]]"
423,200000,,"[['Truck57651', 297]]"
423,200412,,"[['Truck57650', 297]]"
428,200000,,"[['Truck57653', 297]]"
428,200412,,"[['Truck57652', 297]]"
433,200000,,"[['Truck57655', 297]]"
433,200412,,"[['Truck57654', 297]]"
438,200000,,"[['Truck57657', 297]]"
438,200412,,"[['Truck57656', 297]]"
443,200000,,"[['Truck57659', 297]]"
443,200412,,"[['Truck57658', 297]]"
448,200000,,"[['Truck57661', 297]]"
448,200412,,"[['Truck57660', 297]]"
453,200000,,"[['Truck57663', 297]]"
453,200412,,"[['Truck57662', 297]]"
458,200000,,"[['Truck57665', 297]]"
458,200412,,"[['Truck57664', 297]]"
463,200000,,"[['Truck57667', 297]]"
463,200412,,"[['Truck57666', 297]]"
468,200000,,"[['Truck57669', 297]]"
468,200412,,"[['Truck57668', 297]]"
473,200000,,"[['Truck57671', 297]]"
473,200412,,"[['Truck57670', 297]]"
478,200000,,"[['Truck57673', 297]]"
478,200412,,"[['Truck57672', 297]]"
483,200000,,"[['Truck57675', 297]]"
483,200412,,"[['Truck57674', 297]]"
488,200000,,"[['Truck57677', 297]]"
488,200412,,"[['Truck57676', 297]]"
493,200000,,"[['Truck57679', 297]]"
493,200412,,"[['Truck57678', 297]]"
498,200000,,"[['Truck57681', 297]]"
498,200412,,"[['Truck57680', 297]]"
503,200000,,"[['Truck57683', 297]]"
503,200412,,"[['Truck57682', 297]]"
508,200000,,"[['Truck57685', 297]]"
508,200412,,"[['Truck57684', 297]]"
513,200000,,"[['Truck57687', 297]]"
513,200412,,"[['Truck57686', 297]]"
518,200000,,"[['Truck57689', 297]]"
518,200412,,"[['Truck57688', 297]]"
523,200000,,"[['Truck57691', 297]]"
523,200412,,"[['Truck57690', 297]]"
528,200000,,"[['Truck57693', 297]]"
528,200412,,"[['Truck57692', 297]]"
533,200000,,"[['Truck57695', 297]]"
533,200412,,"[['Truck57694', 297]]"
538,200000,,"[['Truck57697', 297]]"
538,200412,,"[['Truck57696', 297]]"
543,200000,,"[['Truck57699', 297]]"
543,200412,,"[['Truck57698', 297]]"
548,200000,,"[['Truck57701', 297]]"
548,200412,,"[['Truck57700', 297]]"
553,200000,,"[['Truck57703', 297]]"
553,200412,,"[['Truck57702', 297]]"
558,200000,,"[['Truck57705', 297]]"
558,200412,,"[['Truck57704', 297]]"
563,200000,,"[['Truck57707', 297]]"
563,200412,,"[['Truck57706', 297]]"
568,200000,,"[['Truck57709', 297]]"
568,200412,,"[['Truck57708', 297]]"
573,200000,,"[['Truck57711', 297]]"
573,200412,,"[['Truck57710', 297]]"
578,200000,,"[['Truck57713', 297]]"
578,200412,,"[['Truck57712', 297]]"
583,200000,,"[['Truck57715', 297]]"
583,200412,,"[['Truck57714', 297]]"
588,200000,,"[['Truck57717', 297]]"
588,200412,,"[['Truck57716', 297]]"
593,200000,,"[['Truck57719', 297]]"
593,200412,,"[['Truck57718', 297]]"
598,200000,,"[['Truck57721', 297]]"
598,200412,,"[['Truck57720', 297]]"
603,200000,,"[['Truck57723', 297]]"
603,200412,,"[['Truck57722', 297]]"
608,200000,,"[['Truck57725', 297]]"
608,200412,,"[['Truck57724', 297]]"
613,200000,,"[['Truck57727', 297]]"
613,200412,,"[['Truck57726', 297]]"
618,200000,,"[['Truck57729', 297]]"
618,200412,,"[['Truck57728', 297]]"
623,200000,,"[['Truck57731', 297]]"
623,200412,,"[['Truck57730', 297]]"
628,200000,,"[['Truck57733', 297]]"
628,200412,,"[['Truck57732', 297]]"
633,200000,,"[['Truck57735', 297]]"
633,200412,,"[['Truck57734', 297]]"
638,200000,,"[['Truck57737', 297]]"
638,200412,,"[['Truck57736', 297]]"
643,200000,,"[['Truck57739', 297]]"
643,200412,,"[['Truck57738', 297]]"
648,200000,,"[['Truck57741', 297]]"
648,200412,,"[['Truck57740', 297]]"
653,200000,,"[['Truck57743', 297]]"
653,200412,,"[['Truck57742', 297]]"
658,200000,,"[['Truck57745', 297]]"
658,200412,,"[['Truck57744', 297]]"
663,200000,,"[['Truck57747', 297]]"
663,200412,,"[['Truck57746', 297]]"
668,200000,,"[['Truck57749', 297]]"
668,200412,,"[['Truck57748', 297]]"
673,200000,,"[['Truck57751', 297]]"
673,200412,,"[['Truck57750', 297]]"
678,200000,,"[['Truck57753', 297]]"
678,200412,,"[['Truck57752', 297]]"
683,200000,,"[['Truck57755', 297]]"
683,200412,,"[['Truck57754', 297]]"
688,200000,,"[['Truck57757', 297]]"
688,200412,,"[['Truck57756', 297]]"
693,200000,,"[['Truck57759', 297]]"
693,200412,,"[['Truck57758', 297]]"
698,200000,,"[['Truck57761', 297]]"
698,200412,,"[['Truck57760', 297]]"
703,200000,,"[['Truck57763', 297]]"
703,200412,,"[['Truck57762', 297]]"
708,200000,,"[['Truck57765', 297]]"
708,200412,,"[['Truck57764', 297]]"
713,200000,,"[['Truck57767', 297]]"
713,200412,,"[['Truck57766', 297]]"
718,200000,,"[['Truck57769', 297]]"
718,200412,,"[['Truck57768', 297]]"
723,200000,,"[['Truck57771', 297]]"
723,200412,,"[['Truck57770', 297]]"
728,200000,,"[['Truck57773', 297]]"
728,200412,,"[['Truck57772', 297]]"
733,200000,,"[['Truck57775', 297]]"
733,200412,,"[['Truck57774', 297]]"
738,200000,,"[['Truck57777', 297]]"
738,200412,,"[['Truck57776', 297]]"
743,200000,,"[['Truck57779', 297]]"
743,200412,,"[['Truck57778', 297]]"
748,200000,,"[['Truck57781', 297]]"
748,200412,,"[['Truck57780', 297]]"
753,200000,,"[['Truck57783', 297]]"
753,200412,,"[['Truck57782', 297]]"
758,200000,,"[['Truck57785', 297]]"
758,200412,,"[['Truck57784', 297]]"
763,200000,,"[['Truck57787', 297]]"
763,200412,,"[['Truck57786', 297]]"
768,200000,,"[['Truck57789', 297]]"
768,200412,,"[['Truck57788', 297]]"
773,200000,,"[['Truck57791', 297]]"
773,200412,,"[['Truck57790', 297]]"
778,200000,,"[['Truck57793', 297]]"
778,200412,,"[['Truck57792', 297]]"
783,200000,,"[['Truck57795', 297]]"
783,200412,,"[['Truck57794', 297]]"
788,200000,,"[['Truck57797', 297]]"
788,200412,,"[['Truck57796', 297]]"
793,200000,,"[['Truck57799', 297]]"
793,200412,,"[['Truck57798', 297]]"
798,200000,,"[['Truck57801', 297]]"
798,200412,,"[['Truck57800', 297]]"
803,200000,,"[['Truck57803', 297]]"
803,200412,,"[['Truck57802', 297]]"
808,200000,,"[['Truck57805', 297]]"
808,200412,,"[['Truck57804', 297]]"
813,200000,,"[['Truck57807', 297]]"
813,200412,,"[['Truck57806', 297]]"
818,200000,,"[['Truck57809', 297]]"
818,200412,,"[['Truck57808', 297]]"
823,200000,,"[['Truck57811', 297]]"
823,200412,,"[['Truck57810', 297]]"
828,200000,,"[['Truck57813', 297]]"
828,200412,,"[['Truck57812', 297]]"
833,200000,,"[['Truck57815', 297]]"
833,200412,,"[['Truck57814', 297]]"
838,200000,,"[['Truck57817', 297]]"
838,200412,,"[['Truck57816', 297]]"
