Step,AgentID,Delay time,Driving time of cars leaving
338,200412,,"[['Truck123840', 337]]"
344,200000,,"[['Truck123841', 343]]"
365,200412,,"[['Truck123842', 359]]"
376,200412,,"[['Truck123844', 365]]"
379,200412,,"[['Truck123850', 353]]"
385,200412,,"[['Truck123848', 364]]"
386,200412,,"[['Truck123846', 370]]"
393,200000,,"[['Truck123847', 377]]"
394,200000,,"[['Truck123857', 353]]"
394,200412,,"[['Truck123858', 348]]"
396,200000,,"[['Truck123853', 365]]"
406,200412,,"[['Truck123864', 345]]"
408,200000,,"[['Truck123861', 357], ['Truck123869', 337]]"
412,200412,,"[['Truck123852', 381]]"
413,200000,,"[['Truck123859', 367]]"
414,200000,,"[['Truck123843', 408], ['Truck123849', 393]]"
416,200000,,"[['Truck123845', 405]]"
419,200412,,"[['Truck123854', 383]]"
420,200000,,"[['Truck123851', 394]]"
425,200412,,"[['Truck123860', 374]]"
432,200000,,"[['Truck123875', 346]]"
432,200412,,"[['Truck123856', 391]]"
437,200412,,"[['Truck123878', 341]]"
440,200000,,"[['Truck123865', 379]]"
442,200000,,"[['Truck123863', 386]]"
442,200412,,"[['Truck123868', 371]]"
443,200000,,"[['Truck123855', 407]]"
444,200000,,"[['Truck123873', 363]]"
446,200412,,"[['Truck123862', 390]]"
448,200412,,"[['Truck123876', 357]]"
454,200412,,"[['Truck123886', 338]]"
455,200000,,"[['Truck123871', 379]]"
457,200412,,"[['Truck123866', 391]]"
459,200000,,"[['Truck123879', 363]]"
459,200412,,"[['Truck123874', 373]]"
462,200000,,"[['Truck123867', 396]]"
462,200412,,"[['Truck123870', 386]]"
471,200412,,"[['Truck123872', 390]]"
477,200412,,"[['Truck123884', 366]]"
479,200000,,"[['Truck123893', 348]]"
481,200000,,"[['Truck123885', 370]]"
486,200000,,"[['Truck123877', 395], ['Truck123889', 365]]"
488,200412,,"[['Truck123888', 367]]"
490,200412,,"[['Truck123882', 384]]"
491,200000,,"[['Truck123897', 350]]"
493,200000,,"[['Truck123881', 392]]"
496,200000,,"[['Truck123883', 390]]"
497,200412,,"[['Truck123898', 351], ['Truck123900', 346]]"
501,200000,,"[['Truck123891', 375]]"
507,200000,,"[['Truck123887', 391]]"
508,200412,,"[['Truck123880', 407]]"
510,200000,,"[['Truck123899', 364]]"
512,200000,,"[['Truck123895', 376]]"
514,200412,,"[['Truck123894', 378]]"
520,200000,,"[['Truck123903', 364]]"
520,200412,,"[['Truck123890', 394]]"
523,200000,,"[['Truck123901', 372]]"
523,200412,,"[['Truck123902', 367]]"
524,200412,,"[['Truck123896', 383]]"
526,200412,,"[['Truck123892', 395]]"
528,200412,,"[['Truck123908', 357]]"
531,200000,,"[['Truck123913', 350]]"
531,200412,,"[['Truck123918', 335]]"
536,200000,,"[['Truck123905', 375]]"
540,200000,,"[['Truck123917', 349]]"
540,200412,,"[['Truck123910', 364]]"
546,200412,,"[['Truck123904', 385]]"
547,200412,,"[['Truck123912', 366]]"
555,200412,,"[['Truck123906', 389]]"
560,200000,,"[['Truck123907', 394], ['Truck123925', 349]]"
566,200412,,"[['Truck123914', 380]]"
571,200000,,"[['Truck123909', 400]]"
573,200000,,"[['Truck123919', 377]]"
573,200412,,"[['Truck123928', 352]]"
577,200000,,"[['Truck123927', 361], ['Truck123929', 356]]"
582,200000,,"[['Truck123923', 376]]"
582,200412,,"[['Truck123926', 366]]"
