Step,AgentID,Delay time,Driving time of cars leaving
413,200412,,"[['Truck135372', 382]]"
414,200412,,"[['Truck135368', 393]]"
419,200412,,"[['Truck135360', 418]]"
426,200000,,"[['Truck135361', 425]]"
426,200412,,"[['Truck135362', 420]]"
427,200000,,"[['Truck135365', 416]]"
429,200000,,"[['Truck135363', 423]]"
430,200412,,"[['Truck135376', 389]]"
431,200412,,"[['Truck135364', 420], ['Truck135382', 375]]"
442,200000,,"[['Truck135371', 416]]"
444,200000,,"[['Truck135367', 428]]"
445,200000,,"[['Truck135381', 394]]"
448,200412,,"[['Truck135366', 432], ['Truck135370', 422]]"
457,200000,,"[['Truck135369', 436]]"
465,200412,,"[['Truck135378', 419]]"
466,200000,,"[['Truck135377', 425]]"
467,200000,,"[['Truck135379', 421]]"
469,200000,,"[['Truck135375', 433]]"
471,200000,,"[['Truck135373', 440]]"
479,200000,,"[['Truck135389', 408], ['Truck135403', 373]]"
479,200412,,"[['Truck135384', 418]]"
488,200412,,"[['Truck135380', 437]]"
490,200412,,"[['Truck135374', 454], ['Truck135388', 419]]"
491,200412,,"[['Truck135394', 405]]"
492,200000,,"[['Truck135395', 406]]"
492,200412,,"[['Truck135396', 401]]"
495,200000,,"[['Truck135383', 439]]"
496,200412,,"[['Truck135390', 420]]"
498,200000,,"[['Truck135387', 432]]"
504,200000,,"[['Truck135385', 443], ['Truck135391', 428]]"
514,200000,,"[['Truck135393', 433]]"
515,200000,,"[['Truck135401', 414]]"
521,200000,,"[['Truck135409', 400]]"
521,200412,,"[['Truck135392', 440], ['Truck135398', 425]]"
523,200412,,"[['Truck135400', 422]]"
525,200000,,"[['Truck135397', 434]]"
525,200412,,"[['Truck135386', 459]]"
531,200000,,"[['Truck135413', 400]]"
534,200412,,"[['Truck135404', 423]]"
542,200412,,"[['Truck135422', 386]]"
545,200412,,"[['Truck135408', 424]]"
547,200000,,"[['Truck135399', 451]]"
548,200000,,"[['Truck135427', 382]]"
548,200412,,"[['Truck135406', 432]]"
556,200412,,"[['Truck135410', 430]]"
560,200412,,"[['Truck135412', 429]]"
563,200412,,"[['Truck135426', 397]]"
566,200000,,"[['Truck135417', 425]]"
569,200412,,"[['Truck135420', 418]]"
572,200000,,"[['Truck135423', 416]]"
575,200000,,"[['Truck135407', 459]]"
576,200000,,"[['Truck135421', 425]]"
579,200000,,"[['Truck135425', 418]]"
579,200412,,"[['Truck135402', 473]]"
585,200412,,"[['Truck135438', 389]]"
588,200000,,"[['Truck135415', 452]]"
589,200000,,"[['Truck135405', 478]]"
595,200000,,"[['Truck135411', 469]]"
597,200412,,"[['Truck135414', 461]]"
598,200412,,"[['Truck135416', 457], ['Truck135428', 427]]"
603,200000,,"[['Truck135437', 412]]"
604,200412,,"[['Truck135436', 413]]"
606,200412,,"[['Truck135432', 425]]"
608,200412,,"[['Truck135434', 422]]"
610,200000,,"[['Truck135443', 404]]"
614,200000,,"[['Truck135435', 428]]"
614,200412,,"[['Truck135418', 468]]"
616,200412,,"[['Truck135442', 410]]"
618,200000,,"[['Truck135431', 442]]"
620,200000,,"[['Truck135453', 389]]"
621,200000,,"[['Truck135433', 440]]"
623,200000,,"[['Truck135441', 422]]"
625,200000,,"[['Truck135419', 479]]"
630,200412,,"[['Truck135454', 394]]"
631,200000,,"[['Truck135429', 460]]"
636,200000,,"[['Truck135455', 400]]"
636,200412,,"[['Truck135424', 475]]"
637,200412,,"[['Truck135430', 461]]"
638,200412,,"[['Truck135444', 427]]"
639,200412,,"[['Truck135440', 438]]"
642,200000,,"[['Truck135439', 446]]"
646,200000,,"[['Truck135449', 425]]"
647,200412,,"[['Truck135464', 386]]"
648,200412,,"[['Truck135446', 432]]"
651,200412,,"[['Truck135460', 400]]"
654,200412,,"[['Truck135458', 408]]"
657,200000,,"[['Truck135447', 441]]"
661,200412,,"[['Truck135448', 440]]"
662,200000,,"[['Truck135459', 416]]"
664,200000,,"[['Truck135445', 453]]"
671,200412,,"[['Truck135476', 380]]"
674,200412,,"[['Truck135452', 443]]"
677,200000,,"[['Truck135467', 411]]"
679,200000,,"[['Truck135469', 408]]"
679,200412,,"[['Truck135450', 453], ['Truck135456', 438]]"
682,200000,,"[['Truck135451', 456]]"
684,200000,,"[['Truck135461', 433]]"
686,200000,,"[['Truck135465', 425]]"
692,200000,,"[['Truck135457', 451], ['Truck135481', 391]]"
694,200000,,"[['Truck135483', 388]]"
694,200412,,"[['Truck135474', 408]]"
696,200412,,"[['Truck135480', 395]]"
697,200412,,"[['Truck135472', 416]]"
698,200412,,"[['Truck135490', 372]]"
699,200412,,"[['Truck135462', 443]]"
701,200000,,"[['Truck135463', 445]]"
701,200412,,"[['Truck135466', 435]]"
712,200412,,"[['Truck135482', 406]]"
713,200000,,"[['Truck135473', 432]]"
713,200412,,"[['Truck135484', 402]]"
719,200000,,"[['Truck135471', 443]]"
723,200412,,"[['Truck135468', 452]]"
724,200412,,"[['Truck135478', 428]]"
735,200000,,"[['Truck135477', 444]]"
736,200000,,"[['Truck135487', 420]]"
736,200412,,"[['Truck135496', 395]]"
737,200412,,"[['Truck135488', 416]]"
738,200412,,"[['Truck135504', 377]]"
739,200000,,"[['Truck135475', 453], ['Truck135479', 443]]"
749,200000,,"[['Truck135485', 438]]"
750,200412,,"[['Truck135470', 474], ['Truck135506', 384]]"
751,200412,,"[['Truck135498', 405]]"
753,200412,,"[['Truck135486', 437]]"
755,200412,,"[['Truck135502', 399]]"
756,200000,,"[['Truck135513', 375]]"
768,200412,,"[['Truck135500', 417]]"
772,200412,,"[['Truck135492', 441]]"
775,200000,,"[['Truck135497', 434]]"
777,200000,,"[['Truck135495', 441], ['Truck135509', 406]]"
779,200000,,"[['Truck135491', 453]]"
782,200000,,"[['Truck135493', 451]]"
783,200000,,"[['Truck135515', 397]]"
787,200000,,"[['Truck135503', 431]]"
790,200412,,"[['Truck135494', 454]]"
791,200000,,"[['Truck135505', 430]]"
794,200000,,"[['Truck135517', 403]]"
795,200412,,"[['Truck135516', 404]]"
797,200000,,"[['Truck135499', 451], ['Truck135501', 446]]"
798,200000,,"[['Truck135531', 372]]"
800,200000,,"[['Truck135489', 479], ['Truck135519', 404]]"
803,200412,,"[['Truck135528', 382]]"
805,200412,,"[['Truck135512', 424]]"
