Step,AgentID,Delay time,Driving time of cars leaving
756,200000,,"[['Truck184335', 720]]"
776,200412,,"[['Truck184324', 765]]"
793,200000,,"[['Truck184327', 777]]"
795,200000,,"[['Truck184325', 784]]"
801,200412,,"[['Truck184322', 795]]"
805,200000,,"[['Truck184323', 799]]"
815,200412,,"[['Truck184360', 714]]"
825,200412,,"[['Truck184372', 694]]"
828,200000,,"[['Truck184331', 802]]"
829,200000,,"[['Truck184339', 783]]"
830,200412,,"[['Truck184336', 789]]"
836,200000,,"[['Truck184343', 780]]"
837,200000,,"[['Truck184329', 816]]"
842,200000,,"[['Truck184321', 841]]"
844,200000,,"[['Truck184345', 783]]"
850,200000,,"[['Truck184337', 809]]"
852,200412,,"[['Truck184342', 796]]"
854,200000,,"[['Truck184361', 753]]"
857,200000,,"[['Truck184349', 786]]"
857,200412,,"[['Truck184320', 856], ['Truck184344', 796]]"
858,200412,,"[['Truck184334', 822]]"
861,200412,,"[['Truck184364', 750]]"
871,200000,,"[['Truck184369', 750]]"
872,200000,,"[['Truck184365', 761]]"
872,200412,,"[['Truck184328', 851]]"
873,200000,,"[['Truck184333', 842]]"
873,200412,,"[['Truck184326', 857]]"
874,200000,,"[['Truck184341', 823]]"
874,200412,,"[['Truck184340', 823]]"
879,200412,,"[['Truck184330', 853]]"
882,200412,,"[['Truck184332', 851]]"
891,200000,,"[['Truck184363', 785], ['Truck184377', 750]]"
894,200412,,"[['Truck184370', 768]]"
895,200412,,"[['Truck184338', 849]]"
896,200000,,"[['Truck184347', 830]]"
897,200412,,"[['Truck184382', 741]]"
901,200412,,"[['Truck184356', 810]]"
909,200000,,"[['Truck184381', 758]]"
909,200412,,"[['Truck184368', 788]]"
911,200000,,"[['Truck184353', 830]]"
911,200412,,"[['Truck184386', 745]]"
912,200000,,"[['Truck184351', 836]]"
913,200412,,"[['Truck184354', 827]]"
917,200000,,"[['Truck184373', 786]]"
919,200412,,"[['Truck184346', 853], ['Truck184366', 803]]"
920,200412,,"[['Truck184352', 839]]"
922,200000,,"[['Truck184391', 746]]"
925,200000,,"[['Truck184359', 829]]"
926,200412,,"[['Truck184362', 820]]"
934,200412,,"[['Truck184418', 688]]"
936,200412,,"[['Truck184376', 795]]"
937,200412,,"[['Truck184358', 841]]"
940,200412,,"[['Truck184378', 794], ['Truck184392', 759]]"
942,200000,,"[['Truck184355', 856], ['Truck184375', 806]]"
944,200000,,"[['Truck184383', 788]]"
948,200000,,"[['Truck184385', 787]]"
949,200000,,"[['Truck184407', 733]]"
950,200000,,"[['Truck184389', 779]]"
953,200000,,"[['Truck184357', 862]]"
957,200000,,"[['Truck184367', 841]]"
959,200000,,"[['Truck184395', 773]]"
963,200412,,"[['Truck184390', 787]]"
965,200412,,"[['Truck184348', 894]]"
966,200000,,"[['Truck184371', 840]]"
970,200412,,"[['Truck184384', 809]]"
972,200000,,"[['Truck184387', 806]]"
972,200412,,"[['Truck184380', 821]]"
973,200412,,"[['Truck184400', 772]]"
980,200000,,"[['Truck184403', 774]]"
981,200412,,"[['Truck184388', 810]]"
982,200000,,"[['Truck184427', 716]]"
986,200412,,"[['Truck184398', 790]]"
987,200412,,"[['Truck184350', 911]]"
1007,200000,,"[['Truck184413', 776]]"
1009,200412,,"[['Truck184414', 773]]"
1011,200412,,"[['Truck184404', 800]]"
1016,200000,,"[['Truck184393', 835]]"
1017,200412,,"[['Truck184416', 776]]"
1022,200000,,"[['Truck184423', 766]]"
1022,200412,,"[['Truck184394', 836]]"
1024,200000,,"[['Truck184397', 833]]"
1024,200412,,"[['Truck184410', 798]]"
1028,200000,,"[['Truck184401', 827]]"
1033,200412,,"[['Truck184444', 722]]"
1036,200000,,"[['Truck184379', 890]]"
1044,200000,,"[['Truck184431', 768]]"
1047,200412,,"[['Truck184396', 856]]"
1052,200412,,"[['Truck184406', 836]]"
1054,200000,,"[['Truck184415', 818], ['Truck184425', 793], ['Truck184437', 763], ['Truck184467', 688]]"
1055,200000,,"[['Truck184405', 844]]"
