Step,AgentID,Delay time,Driving time of cars leaving
314,200000,,"[['Truck92161', 313]]"
334,200412,,"[['Truck92164', 323]]"
337,200000,,"[['Truck92165', 326], ['Truck92167', 321]]"
344,200000,,"[['Truck92173', 313]]"
347,200412,,"[['Truck92160', 346]]"
352,200412,,"[['Truck92162', 346], ['Truck92168', 331]]"
353,200000,,"[['Truck92163', 347]]"
355,200000,,"[['Truck92169', 334]]"
356,200412,,"[['Truck92170', 330]]"
361,200000,,"[['Truck92171', 335]]"
365,200412,,"[['Truck92166', 349]]"
373,200412,,"[['Truck92172', 342]]"
376,200412,,"[['Truck92180', 325]]"
378,200000,,"[['Truck92175', 342], ['Truck92181', 327]]"
380,200000,,"[['Truck92177', 339]]"
380,200412,,"[['Truck92174', 344]]"
385,200000,,"[['Truck92187', 319]]"
385,200412,,"[['Truck92178', 339], ['Truck92182', 329]]"
387,200000,,"[['Truck92183', 331]]"
391,200412,,"[['Truck92188', 320]]"
394,200000,,"[['Truck92179', 348]]"
395,200412,,"[['Truck92176', 354]]"
397,200412,,"[['Truck92184', 336]]"
404,200412,,"[['Truck92192', 323]]"
411,200000,,"[['Truck92185', 350]]"
412,200000,,"[['Truck92191', 336], ['Truck92193', 331]]"
413,200412,,"[['Truck92186', 347]]"
414,200000,,"[['Truck92189', 343]]"
415,200000,,"[['Truck92197', 324]]"
416,200000,,"[['Truck92201', 315]]"
420,200412,,"[['Truck92194', 334]]"
423,200000,,"[['Truck92199', 327]]"
425,200412,,"[['Truck92196', 334]]"
430,200412,,"[['Truck92190', 354]]"
431,200000,,"[['Truck92207', 315]]"
433,200000,,"[['Truck92195', 347]]"
435,200412,,"[['Truck92202', 329]]"
439,200412,,"[['Truck92198', 343]]"
444,200000,,"[['Truck92211', 318]]"
445,200412,,"[['Truck92212', 314]]"
448,200412,,"[['Truck92206', 332]]"
449,200412,,"[['Truck92214', 313]]"
452,200412,,"[['Truck92204', 341]]"
453,200412,,"[['Truck92200', 352]]"
454,200412,,"[['Truck92210', 328]]"
