Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck46081', 297]]"
298,200412,,"[['Truck46080', 297]]"
303,200000,,"[['Truck46083', 297]]"
303,200412,,"[['Truck46082', 297]]"
308,200000,,"[['Truck46085', 297]]"
308,200412,,"[['Truck46084', 297]]"
313,200000,,"[['Truck46087', 297]]"
313,200412,,"[['Truck46086', 297]]"
318,200000,,"[['Truck46089', 297]]"
318,200412,,"[['Truck46088', 297]]"
323,200000,,"[['Truck46091', 297]]"
323,200412,,"[['Truck46090', 297]]"
328,200000,,"[['Truck46093', 297]]"
328,200412,,"[['Truck46092', 297]]"
333,200000,,"[['Truck46095', 297]]"
333,200412,,"[['Truck46094', 297]]"
338,200000,,"[['Truck46097', 297]]"
338,200412,,"[['Truck46096', 297]]"
343,200000,,"[['Truck46099', 297]]"
343,200412,,"[['Truck46098', 297]]"
348,200000,,"[['Truck46101', 297]]"
348,200412,,"[['Truck46100', 297]]"
353,200000,,"[['Truck46103', 297]]"
353,200412,,"[['Truck46102', 297]]"
358,200000,,"[['Truck46105', 297]]"
358,200412,,"[['Truck46104', 297]]"
363,200000,,"[['Truck46107', 297]]"
363,200412,,"[['Truck46106', 297]]"
368,200000,,"[['Truck46109', 297]]"
368,200412,,"[['Truck46108', 297]]"
373,200000,,"[['Truck46111', 297]]"
373,200412,,"[['Truck46110', 297]]"
378,200000,,"[['Truck46113', 297]]"
378,200412,,"[['Truck46112', 297]]"
383,200000,,"[['Truck46115', 297]]"
383,200412,,"[['Truck46114', 297]]"
388,200000,,"[['Truck46117', 297]]"
388,200412,,"[['Truck46116', 297]]"
393,200000,,"[['Truck46119', 297]]"
393,200412,,"[['Truck46118', 297]]"
398,200000,,"[['Truck46121', 297]]"
398,200412,,"[['Truck46120', 297]]"
403,200000,,"[['Truck46123', 297]]"
403,200412,,"[['Truck46122', 297]]"
408,200000,,"[['Truck46125', 297]]"
408,200412,,"[['Truck46124', 297]]"
413,200000,,"[['Truck46127', 297]]"
413,200412,,"[['Truck46126', 297]]"
418,200000,,"[['Truck46129', 297]]"
418,200412,,"[['Truck46128', 297]]"
423,200000,,"[['Truck46131', 297]]"
423,200412,,"[['Truck46130', 297]]"
428,200000,,"[['Truck46133', 297]]"
428,200412,,"[['Truck46132', 297]]"
433,200000,,"[['Truck46135', 297]]"
433,200412,,"[['Truck46134', 297]]"
438,200000,,"[['Truck46137', 297]]"
438,200412,,"[['Truck46136', 297]]"
443,200000,,"[['Truck46139', 297]]"
443,200412,,"[['Truck46138', 297]]"
448,200000,,"[['Truck46141', 297]]"
448,200412,,"[['Truck46140', 297]]"
453,200000,,"[['Truck46143', 297]]"
453,200412,,"[['Truck46142', 297]]"
458,200000,,"[['Truck46145', 297]]"
458,200412,,"[['Truck46144', 297]]"
463,200000,,"[['Truck46147', 297]]"
463,200412,,"[['Truck46146', 297]]"
468,200000,,"[['Truck46149', 297]]"
468,200412,,"[['Truck46148', 297]]"
473,200000,,"[['Truck46151', 297]]"
473,200412,,"[['Truck46150', 297]]"
478,200000,,"[['Truck46153', 297]]"
478,200412,,"[['Truck46152', 297]]"
483,200000,,"[['Truck46155', 297]]"
483,200412,,"[['Truck46154', 297]]"
488,200000,,"[['Truck46157', 297]]"
488,200412,,"[['Truck46156', 297]]"
493,200000,,"[['Truck46159', 297]]"
493,200412,,"[['Truck46158', 297]]"
498,200000,,"[['Truck46161', 297]]"
498,200412,,"[['Truck46160', 297]]"
503,200000,,"[['Truck46163', 297]]"
503,200412,,"[['Truck46162', 297]]"
508,200000,,"[['Truck46165', 297]]"
508,200412,,"[['Truck46164', 297]]"
513,200000,,"[['Truck46167', 297]]"
513,200412,,"[['Truck46166', 297]]"
518,200000,,"[['Truck46169', 297]]"
518,200412,,"[['Truck46168', 297]]"
523,200000,,"[['Truck46171', 297]]"
523,200412,,"[['Truck46170', 297]]"
528,200000,,"[['Truck46173', 297]]"
528,200412,,"[['Truck46172', 297]]"
533,200000,,"[['Truck46175', 297]]"
533,200412,,"[['Truck46174', 297]]"
538,200000,,"[['Truck46177', 297]]"
538,200412,,"[['Truck46176', 297]]"
543,200000,,"[['Truck46179', 297]]"
543,200412,,"[['Truck46178', 297]]"
548,200000,,"[['Truck46181', 297]]"
548,200412,,"[['Truck46180', 297]]"
553,200000,,"[['Truck46183', 297]]"
553,200412,,"[['Truck46182', 297]]"
558,200000,,"[['Truck46185', 297]]"
558,200412,,"[['Truck46184', 297]]"
563,200000,,"[['Truck46187', 297]]"
563,200412,,"[['Truck46186', 297]]"
568,200000,,"[['Truck46189', 297]]"
568,200412,,"[['Truck46188', 297]]"
573,200000,,"[['Truck46191', 297]]"
573,200412,,"[['Truck46190', 297]]"
578,200000,,"[['Truck46193', 297]]"
578,200412,,"[['Truck46192', 297]]"
583,200000,,"[['Truck46195', 297]]"
583,200412,,"[['Truck46194', 297]]"
588,200000,,"[['Truck46197', 297]]"
588,200412,,"[['Truck46196', 297]]"
593,200000,,"[['Truck46199', 297]]"
593,200412,,"[['Truck46198', 297]]"
598,200000,,"[['Truck46201', 297]]"
598,200412,,"[['Truck46200', 297]]"
