Step,AgentID,Delay time,Driving time of cars leaving
417,200412,,"[['Truck89280', 416]]"
436,200412,,"[['Truck89282', 430]]"
440,200000,,"[['Truck89289', 419]]"
449,200412,,"[['Truck89284', 438], ['Truck89298', 403]]"
451,200412,,"[['Truck89288', 430]]"
454,200000,,"[['Truck89283', 448], ['Truck89299', 408]]"
455,200412,,"[['Truck89292', 424]]"
458,200000,,"[['Truck89293', 427]]"
466,200000,,"[['Truck89281', 465]]"
468,200412,,"[['Truck89290', 442]]"
471,200000,,"[['Truck89287', 455]]"
484,200000,,"[['Truck89297', 443]]"
484,200412,,"[['Truck89286', 468]]"
489,200412,,"[['Truck89300', 438]]"
501,200000,,"[['Truck89291', 475]]"
501,200412,,"[['Truck89304', 440]]"
502,200000,,"[['Truck89295', 466]]"
504,200000,,"[['Truck89305', 443]]"
507,200000,,"[['Truck89307', 441]]"
508,200000,,"[['Truck89303', 452]]"
510,200000,,"[['Truck89285', 499]]"
510,200412,,"[['Truck89294', 474], ['Truck89312', 429]]"
512,200412,,"[['Truck89306', 446]]"
514,200000,,"[['Truck89301', 463]]"
514,200412,,"[['Truck89302', 458]]"
523,200412,,"[['Truck89320', 422]]"
524,200412,,"[['Truck89310', 448]]"
529,200000,,"[['Truck89325', 418]]"
531,200412,,"[['Truck89322', 425]]"
533,200000,,"[['Truck89335', 397]]"
533,200412,,"[['Truck89314', 447]]"
536,200412,,"[['Truck89308', 465]]"
537,200412,,"[['Truck89296', 496]]"
542,200000,,"[['Truck89329', 421]]"
544,200000,,"[['Truck89311', 468]]"
544,200412,,"[['Truck89334', 408]]"
546,200000,,"[['Truck89321', 445]]"
548,200412,,"[['Truck89318', 452]]"
550,200000,,"[['Truck89309', 479], ['Truck89323', 444]]"
553,200412,,"[['Truck89316', 462]]"
556,200000,,"[['Truck89313', 475]]"
558,200000,,"[['Truck89333', 427]]"
566,200412,,"[['Truck89330', 440], ['Truck89346', 400]]"
570,200000,,"[['Truck89337', 429]]"
575,200000,,"[['Truck89315', 489]]"
575,200412,,"[['Truck89328', 454]]"
576,200412,,"[['Truck89338', 430]]"
578,200412,,"[['Truck89326', 462]]"
582,200000,,"[['Truck89317', 491]]"
582,200412,,"[['Truck89340', 431]]"
583,200412,,"[['Truck89324', 472]]"
590,200000,,"[['Truck89331', 464]]"
591,200412,,"[['Truck89352', 410]]"
