Step,AgentID,Delay time,Driving time of cars leaving
298,200000,,"[['Truck31681', 297]]"
298,200412,,"[['Truck31680', 297]]"
303,200000,,"[['Truck31683', 297]]"
303,200412,,"[['Truck31682', 297]]"
308,200000,,"[['Truck31685', 297]]"
308,200412,,"[['Truck31684', 297]]"
313,200000,,"[['Truck31687', 297]]"
313,200412,,"[['Truck31686', 297]]"
318,200000,,"[['Truck31689', 297]]"
318,200412,,"[['Truck31688', 297]]"
323,200000,,"[['Truck31691', 297]]"
323,200412,,"[['Truck31690', 297]]"
328,200000,,"[['Truck31693', 297]]"
328,200412,,"[['Truck31692', 297]]"
333,200000,,"[['Truck31695', 297]]"
333,200412,,"[['Truck31694', 297]]"
338,200000,,"[['Truck31697', 297]]"
338,200412,,"[['Truck31696', 297]]"
343,200000,,"[['Truck31699', 297]]"
343,200412,,"[['Truck31698', 297]]"
348,200000,,"[['Truck31701', 297]]"
348,200412,,"[['Truck31700', 297]]"
353,200000,,"[['Truck31703', 297]]"
353,200412,,"[['Truck31702', 297]]"
358,200000,,"[['Truck31705', 297]]"
358,200412,,"[['Truck31704', 297]]"
363,200000,,"[['Truck31707', 297]]"
363,200412,,"[['Truck31706', 297]]"
368,200000,,"[['Truck31709', 297]]"
368,200412,,"[['Truck31708', 297]]"
373,200000,,"[['Truck31711', 297]]"
373,200412,,"[['Truck31710', 297]]"
378,200000,,"[['Truck31713', 297]]"
378,200412,,"[['Truck31712', 297]]"
383,200000,,"[['Truck31715', 297]]"
383,200412,,"[['Truck31714', 297]]"
388,200000,,"[['Truck31717', 297]]"
388,200412,,"[['Truck31716', 297]]"
393,200000,,"[['Truck31719', 297]]"
393,200412,,"[['Truck31718', 297]]"
398,200000,,"[['Truck31721', 297]]"
398,200412,,"[['Truck31720', 297]]"
403,200000,,"[['Truck31723', 297]]"
403,200412,,"[['Truck31722', 297]]"
408,200000,,"[['Truck31725', 297]]"
408,200412,,"[['Truck31724', 297]]"
413,200000,,"[['Truck31727', 297]]"
413,200412,,"[['Truck31726', 297]]"
418,200000,,"[['Truck31729', 297]]"
418,200412,,"[['Truck31728', 297]]"
423,200000,,"[['Truck31731', 297]]"
423,200412,,"[['Truck31730', 297]]"
428,200000,,"[['Truck31733', 297]]"
428,200412,,"[['Truck31732', 297]]"
433,200000,,"[['Truck31735', 297]]"
433,200412,,"[['Truck31734', 297]]"
438,200000,,"[['Truck31737', 297]]"
438,200412,,"[['Truck31736', 297]]"
443,200000,,"[['Truck31739', 297]]"
443,200412,,"[['Truck31738', 297]]"
448,200000,,"[['Truck31741', 297]]"
448,200412,,"[['Truck31740', 297]]"
453,200000,,"[['Truck31743', 297]]"
453,200412,,"[['Truck31742', 297]]"
458,200000,,"[['Truck31745', 297]]"
458,200412,,"[['Truck31744', 297]]"
463,200000,,"[['Truck31747', 297]]"
463,200412,,"[['Truck31746', 297]]"
468,200000,,"[['Truck31749', 297]]"
468,200412,,"[['Truck31748', 297]]"
473,200000,,"[['Truck31751', 297]]"
473,200412,,"[['Truck31750', 297]]"
478,200000,,"[['Truck31753', 297]]"
478,200412,,"[['Truck31752', 297]]"
483,200000,,"[['Truck31755', 297]]"
483,200412,,"[['Truck31754', 297]]"
488,200000,,"[['Truck31757', 297]]"
488,200412,,"[['Truck31756', 297]]"
493,200000,,"[['Truck31759', 297]]"
493,200412,,"[['Truck31758', 297]]"
498,200000,,"[['Truck31761', 297]]"
498,200412,,"[['Truck31760', 297]]"
503,200000,,"[['Truck31763', 297]]"
503,200412,,"[['Truck31762', 297]]"
508,200000,,"[['Truck31765', 297]]"
508,200412,,"[['Truck31764', 297]]"
513,200000,,"[['Truck31767', 297]]"
513,200412,,"[['Truck31766', 297]]"
518,200000,,"[['Truck31769', 297]]"
518,200412,,"[['Truck31768', 297]]"
523,200000,,"[['Truck31771', 297]]"
523,200412,,"[['Truck31770', 297]]"
528,200000,,"[['Truck31773', 297]]"
528,200412,,"[['Truck31772', 297]]"
533,200000,,"[['Truck31775', 297]]"
533,200412,,"[['Truck31774', 297]]"
538,200000,,"[['Truck31777', 297]]"
538,200412,,"[['Truck31776', 297]]"
543,200000,,"[['Truck31779', 297]]"
543,200412,,"[['Truck31778', 297]]"
548,200000,,"[['Truck31781', 297]]"
548,200412,,"[['Truck31780', 297]]"
553,200000,,"[['Truck31783', 297]]"
553,200412,,"[['Truck31782', 297]]"
558,200000,,"[['Truck31785', 297]]"
558,200412,,"[['Truck31784', 297]]"
563,200000,,"[['Truck31787', 297]]"
563,200412,,"[['Truck31786', 297]]"
568,200000,,"[['Truck31789', 297]]"
568,200412,,"[['Truck31788', 297]]"
573,200000,,"[['Truck31791', 297]]"
573,200412,,"[['Truck31790', 297]]"
578,200000,,"[['Truck31793', 297]]"
578,200412,,"[['Truck31792', 297]]"
583,200000,,"[['Truck31795', 297]]"
583,200412,,"[['Truck31794', 297]]"
588,200000,,"[['Truck31797', 297]]"
588,200412,,"[['Truck31796', 297]]"
593,200000,,"[['Truck31799', 297]]"
593,200412,,"[['Truck31798', 297]]"
598,200000,,"[['Truck31801', 297]]"
598,200412,,"[['Truck31800', 297]]"
603,200000,,"[['Truck31803', 297]]"
603,200412,,"[['Truck31802', 297]]"
608,200000,,"[['Truck31805', 297]]"
608,200412,,"[['Truck31804', 297]]"
613,200000,,"[['Truck31807', 297]]"
613,200412,,"[['Truck31806', 297]]"
618,200000,,"[['Truck31809', 297]]"
618,200412,,"[['Truck31808', 297]]"
623,200000,,"[['Truck31811', 297]]"
623,200412,,"[['Truck31810', 297]]"
628,200000,,"[['Truck31813', 297]]"
628,200412,,"[['Truck31812', 297]]"
633,200000,,"[['Truck31815', 297]]"
633,200412,,"[['Truck31814', 297]]"
638,200000,,"[['Truck31817', 297]]"
638,200412,,"[['Truck31816', 297]]"
643,200000,,"[['Truck31819', 297]]"
643,200412,,"[['Truck31818', 297]]"
648,200000,,"[['Truck31821', 297]]"
648,200412,,"[['Truck31820', 297]]"
653,200000,,"[['Truck31823', 297]]"
653,200412,,"[['Truck31822', 297]]"
658,200000,,"[['Truck31825', 297]]"
658,200412,,"[['Truck31824', 297]]"
663,200000,,"[['Truck31827', 297]]"
663,200412,,"[['Truck31826', 297]]"
668,200000,,"[['Truck31829', 297]]"
668,200412,,"[['Truck31828', 297]]"
673,200000,,"[['Truck31831', 297]]"
673,200412,,"[['Truck31830', 297]]"
678,200000,,"[['Truck31833', 297]]"
678,200412,,"[['Truck31832', 297]]"
683,200000,,"[['Truck31835', 297]]"
683,200412,,"[['Truck31834', 297]]"
688,200000,,"[['Truck31837', 297]]"
688,200412,,"[['Truck31836', 297]]"
693,200000,,"[['Truck31839', 297]]"
693,200412,,"[['Truck31838', 297]]"
698,200000,,"[['Truck31841', 297]]"
698,200412,,"[['Truck31840', 297]]"
703,200000,,"[['Truck31843', 297]]"
703,200412,,"[['Truck31842', 297]]"
708,200000,,"[['Truck31845', 297]]"
708,200412,,"[['Truck31844', 297]]"
713,200000,,"[['Truck31847', 297]]"
713,200412,,"[['Truck31846', 297]]"
718,200000,,"[['Truck31849', 297]]"
718,200412,,"[['Truck31848', 297]]"
